"Gene","GSM466408","GSM466409","GSM466410","GSM466411","GSM466412","GSM466413","GSM466414","GSM466415","GSM466416","GSM466417","GSM466418","GSM466419"
"S100b",3.90179699539828,3.89775253788759,3.90398519562272,3.89933537110381,3.88338711399415,3.87903486982952,3.90241554724944,3.89184046811186,3.87718187400629,3.90531142038038,3.86494169211051,3.86852978962624
"Actb",3.87912890618404,3.88334559106854,3.88173933900513,3.89611080928041,3.87124979422447,3.87970313179329,3.89825330370883,3.86884941290855,3.92502448227193,3.88972151874358,3.88939007699616,3.89485471134592
"Cplx1",3.88125954393213,3.88401271963989,3.89719161324408,3.91227339978665,3.88011355324063,3.88323453282836,3.88663245955609,3.88060079553621,3.87833760064011,3.89895208825896,3.86619012455263,3.86844009651711
"Tf",3.88024096566371,3.89953906745995,3.8822292241005,3.89653902397761,3.88255347037934,3.87453510331097,3.89135426799731,3.89494362968622,3.86925218247189,3.89838663673157,3.87078352371594,3.86951818093124
"Aldoa",3.92375885324384,3.89622296106102,3.88570668408845,3.89138440717141,3.87283726894859,3.87724361858012,3.90427142175173,3.88576699131978,3.83455777316491,3.89441434198377,3.84840118522788,3.87667054918873
"Prnp",3.88808525330586,3.88791028928952,3.88480439816861,3.87997576217111,3.8697277956131,3.86624614154491,3.88906461682536,3.87149709992264,3.89642342943359,3.88611974836694,3.87124867922413,3.88371869923711
"Atp1a2",3.87528205176404,3.87007838649041,3.89763641134746,3.89130687002624,3.87902371899892,3.88590534780033,3.87072053949117,3.86100183846477,3.88406862246298,3.89756542622128,3.8793974307775,3.88108923141564
"Calm1",3.89410354415513,3.87402222834901,3.90172350235281,3.88605213845072,3.87160987946896,3.87593828993043,3.88236976823684,3.85435249745736,3.9010697696681,3.87152016179094,3.86923865849337,3.87602463614632
"Mobp",3.89682065160297,3.88083822542135,3.88665440290416,3.89334213036738,3.86842764951055,3.8618191301917,3.89434575558053,3.87693640509163,3.91228062949953,3.86886404158233,3.84561819671719,3.87069652594516
"Itm2b",3.85195365227521,3.86560963107317,3.89333843328378,3.87538465737779,3.87428594205341,3.86998035415655,3.88699723936839,3.86766651169869,3.91471707373206,3.8714953079477,3.87754166956586,3.88160547152626
"Slc12a5",3.87389827057356,3.8861259862854,3.88775258355428,3.87521289775752,3.87870558005151,3.89058804846656,3.88040037921181,3.85113937233546,3.87270413976831,3.88083324555678,3.86682676171797,3.88220845687981
"Mdh1",3.88369200214629,3.8970487725949,3.88861273278371,3.87723278377182,3.87900874682393,3.86693843658473,3.89018301825625,3.87271010800659,3.85684772012027,3.8893892446237,3.85541126490354,3.86390607463641
"Tspan7",3.88017634918108,3.86931526933232,3.91082466818822,3.87595318296533,3.87508698237287,3.8801555621864,3.86400051172912,3.84924364468925,3.90276721664394,3.86854454599194,3.86733927454141,3.87689994881263
"Gapdh",3.87575636749233,3.87724517565988,3.87474085803362,3.86184815422722,3.85778144068341,3.84805391592758,3.88500032598843,3.863354894059,3.87390317898168,3.87011458735631,3.83655183531185,3.86000283116939
"Itih3",3.85408469343276,3.86106973502991,3.8450167823998,3.85396699951803,3.84580454826844,3.84060181053566,3.89274816676574,3.8569778898488,3.87247901870051,3.88975098835681,3.87410323357109,3.88125071005647
"Cst3",3.85963214069379,3.857141820962,3.84808145101643,3.85958129178515,3.82750698165547,3.82361920928489,3.89424685716247,3.86676683630908,3.89000413282466,3.89053122746305,3.85030643676504,3.87982885565326
"Cpe",3.87212512494782,3.85517455060965,3.88460956994849,3.8537793354555,3.84810582591888,3.84515254628164,3.85065680345165,3.84149272009836,3.89838208858804,3.86362008999004,3.85198077034113,3.86903364496196
"Map1b",3.84676372598773,3.85116138137924,3.85173099849689,3.89541892908481,3.87218762424199,3.86367730988811,3.84847099442088,3.85647490723203,3.8733226714869,3.87287360351149,3.84267143965067,3.84319424978623
"Dnm1",3.88206678546404,3.86828339034283,3.85895762573144,3.85100666816066,3.85766938312649,3.86187352013493,3.87320455184882,3.86671865328047,3.83253628677463,3.86042542942146,3.83907482127204,3.86236064697083
"Ywhah",3.86714581138806,3.8450168777744,3.86240517474982,3.86635707989356,3.85214415634133,3.85406959786876,3.8736983519168,3.8426218759383,3.87908971865952,3.86068045476984,3.84353455744008,3.85780754489848
"Snap25",3.85839386024059,3.8435960646315,3.87015014602084,3.87437594435021,3.85495446527685,3.85600158953019,3.84911853251612,3.8295315048852,3.8904743341797,3.86108925600409,3.83747609021564,3.85151026824458
"Sparcl1",3.8745092518224,3.84129852142208,3.87093038385256,3.85711661065683,3.83616125483571,3.84992377112445,3.84579786463763,3.83506734400953,3.86882333293518,3.86460530096862,3.84361881511587,3.85558346567199
"ND3",3.85326096773587,3.84329112688378,3.86338243504325,3.85241446623431,3.84261692027791,3.83399175872548,3.86538522052026,3.81663625263986,3.9000136876012,3.84770052250648,3.83484821982687,3.84064473312717
"Rps23",3.81585924606956,3.84490443477061,3.82532441428878,3.86326242014877,3.85302335621294,3.8476159136286,3.83575017456881,3.84271154953376,3.86182984520843,3.86458726757838,3.85059223932146,3.86447093847497
"Rps6",3.83751484818936,3.85360618667771,3.83345369609159,3.83744757183631,3.83999947060534,3.83896086467312,3.87082319094619,3.84828285744083,3.849669421878,3.85629000566649,3.84412550653107,3.85032153874735
"Mpz",3.83763816034511,3.91021391114998,3.8842528753781,3.77100898063111,3.87484606389934,3.83329161063815,3.85863883345871,3.78896750657268,3.82931683411538,3.81602505646612,3.85696677332756,3.87132115836922
